ax,ay,az,gx,gy,gz
0.06640625,0.9667969,-0.1064453,-1.648855,-0.8854962,1.679389
0.1052246,0.9733887,-0.109375,-0.6564885,-0.8778625,2.19084
0.1262207,0.9782715,-0.1169434,-0.1145038,-0.7557252,0.6564885
0.1350098,0.9760742,-0.1264648,-0.4198473,-0.389313,-0.7480916
0.1105957,0.9780273,-0.1293945,-1.038168,-0.6335878,-0.6641222
0.08837891,0.9741211,-0.1166992,-0.7175572,-0.6870229,0.519084
0.09008789,0.9750977,-0.126709,-0.6641222,-0.4045802,1.236641
0.1115723,0.9760742,-0.1140137,-0.2671756,-0.6641222,0.6793893
0.1125488,0.9729004,-0.1289063,-0.3816794,-0.8167939,0.1145038
0.109375,0.9794922,-0.1123047,-0.3358779,-0.8015267,-0.0610687
0.1057129,0.9785156,-0.1235352,-0.8167939,-0.3816794,0.1832061
0.09301758,0.9694824,-0.1203613,-0.9541985,-0.648855,0.5114504
-eTwist-,-e-,-e-,-e-,-e-,-e-
-sTwist-,-s-,-s-,-s-,-s-,-s-
0.112793,1.041748,-0.05078125,1.183206,-1.503817,1.038168
0.1140137,0.9838867,-0.1088867,-1.755725,-0.6183206,-0.9465649
0.1113281,0.9697266,-0.09130859,-1.160305,-0.9007633,0.351145
0.2255859,0.9333496,-0.2294922,-2.80916,-23.91603,-5.862596
0.6306152,0.9433594,-0.2541504,-11.51145,-157.7557,-21.79389
0.1257324,0.9697266,-0.1831055,-15.61069,-248.1832,-21.44275
-0.1413574,0.9619141,-0.1027832,-20.35114,-248.1832,-26.41985
-0.3591309,0.9714355,0.05029297,-5.78626,-178.4657,3.305344
0.009033203,0.9536133,-0.263916,-8.702291,-148.2595,31.35114
0.2202148,0.9208984,-0.2526855,-10.33588,-157.8321,39.25191
0.892334,1.032959,0.01074219,-7.541985,-176.313,-5.580153
0.3193359,0.9475098,-0.1647949,-17.67939,-201.0382,-11.53435
0.1677246,0.9824219,-0.1162109,-13.60305,-166.7481,-26.70992
-0.4165039,1.132324,0.1889648,-6.51145,233.7176,22.25954
0.2905273,0.8769531,-0.06713867,24.71756,144.9389,76.70229
0.2578125,1.313477,0.4558105,35.53435,213.5343,41.24427
0.5939941,0.7497559,-0.3327637,14.8855,250.1298,-19.24427
0.3442383,0.7976074,-0.5834961,21.48855,175.626,-17.49618
-0.2648926,1.126221,-0.1584473,11.41221,250.1298,22.20611
0.5144043,1.030762,-0.1298828,22.21374,250.1298,-6.78626
-0.05004883,0.8837891,-0.2021484,7.969466,200.0,0.6259542
-0.2492676,0.9621582,-0.004638672,21.24427,250.1298,0.480916
0.2668457,0.6772461,-0.3564453,13.61069,235.6641,-28.93893
-0.01464844,1.139893,-0.1113281,22.9542,229.4198,17.12214
0.3625488,1.11084,-0.04150391,15.17557,98.771,-8.480916
-0.01391602,0.8359375,-0.229248,1.70229,69.86259,-9.045801
0.1437988,0.8701172,-0.3066406,0.3129771,22.62595,-16.22901
0.04418945,0.9973145,-0.0793457,-2.603053,4.984733,-13.00763
-0.01586914,0.9892578,-0.06054688,-4.167939,-1.374046,0.9083969
-0.001220703,0.9833984,-0.05493164,3.045802,0.6793893,5.80916
0.1201172,0.9743652,-0.1223145,2.908397,-1.717557,5.824428
0.159668,0.9477539,-0.1931152,-2.045802,-0.1526718,1.900763
0.1699219,0.9763184,-0.1420898,-2.099237,-0.3664122,-1.442748
0.128418,0.9851074,-0.08032227,-1.251908,-0.8167939,-2.137405
0.07348633,0.9765625,-0.09155273,0.351145,-0.5648855,0.07633588
0.07421875,0.9562988,-0.1494141,-0.7862596,-0.8854962,2.053435
0.1247559,0.9812012,-0.135498,-0.5419847,-0.778626,1.251908
0.1311035,0.9770508,-0.1062012,-1.549618,-0.7480916,-0.06870229
0.1308594,0.9763184,-0.09472656,-0.5267176,-0.648855,-0.832061
0.09960938,0.9812012,-0.1181641,0.2977099,-0.7175572,-0.2213741
0.09472656,0.9748535,-0.1247559,-0.480916,-0.610687,0.8015267
0.1049805,0.9748535,-0.1367188,-1.183206,-0.4885496,0.8549618
0.1264648,0.9750977,-0.1213379,-1.335878,-0.2977099,0.4274809
-eTwist-,-e-,-e-,-e-,-e-,-e-
-sTwist-,-s-,-s-,-s-,-s-,-s-
0.1098633,0.9775391,-0.1081543,0.1450382,-0.2824428,0.6564885
0.1159668,1.0,-0.04394531,1.671756,-2.442748,1.305344
0.1682129,0.9875488,-0.1262207,-2.770992,-30.20611,-6.038168
0.5876465,0.9724121,-0.1582031,-9.022901,-227.7863,-22.29008
0.1882324,0.9680176,-0.1096191,-20.62595,-248.1832,-44.14504
-0.2219238,1.068359,0.1801758,-2.091603,-248.1832,-1.312977
-0.2260742,0.9824219,0.04956055,-7.312977,-194.9466,19.20611
0.170166,0.9553223,-0.1013184,-18.60305,-248.1832,-14.34351
-0.1896973,0.9401855,-0.08447266,-21.74046,-168.9542,-11.9771
-0.0480957,0.9006348,-0.1757813,-10.87023,-137.2443,15.39695
0.2746582,1.01416,-0.1105957,-9.122137,-149.855,-5.770992
0.1508789,0.9060059,-0.1088867,-13.58779,-238.5191,-15.51908
0.1269531,0.9736328,-0.08007813,-12.17557,-248.1832,-16.93893
-0.1376953,1.0271,-0.1750488,-14.63359,71.29008,-142.5802
-0.3344727,1.108887,-0.1179199,21.09924,123.3359,135.8626
0.2075195,1.117676,0.3461914,1.366412,249.6947,53.83969
0.9499512,0.5236816,-0.5288086,6.984733,205.2443,-6.526718
-0.09179688,1.147705,0.1655273,55.1145,186.0153,90.03053
-0.1936035,1.031494,0.2492676,22.13741,250.1298,12.41985
1.0354,0.7348633,-0.4584961,11.56489,180.626,-21.0916
-0.3825684,1.102051,0.01171875,27.52672,250.1298,14.07634
0.2822266,0.7661133,-0.6025391,8.167939,250.1298,-64.08397
-0.03515625,0.9375,-0.239502,26.59542,225.458,8.374045
0.1035156,1.218506,0.08618164,18.15267,250.1298,-9.068703
0.3710938,0.7983398,-0.1542969,1.78626,165.1603,-36.60305
0.2910156,1.112793,-0.1379395,12.17557,99.29771,-1.679389
0.265625,1.019775,-0.08227539,8.778625,23.44275,-16.93893
-0.05883789,0.9731445,-0.2541504,-6.610687,-4.137404,-4.801527
-0.07080078,0.9741211,-0.1699219,-6.053435,-4.045802,4.427481
0.07397461,0.9765625,-0.05224609,-3.778626,-5.946565,4.51145
0.09790039,0.9851074,-0.03222656,-0.5648855,-0.7480916,4.045802
0.1662598,0.9707031,-0.1086426,3.137405,-1.122137,0.7099237
0.1555176,0.9758301,-0.1386719,0.7328244,-1.137405,-1.358779
0.1137695,0.9611816,-0.1706543,-3.0,-0.9312977,-1.21374
0.08642578,0.9802246,-0.09814453,-2.251908,-0.3969466,0.3358779
0.09936523,0.9853516,-0.07397461,-0.4122138,-0.8778625,1.045802
0.1166992,0.9787598,-0.109375,1.19084,-1.007634,1.129771
0.1274414,0.9682617,-0.1533203,0.2213741,-0.9847328,0.351145
0.1271973,0.9748535,-0.1374512,-1.442748,-0.8091603,-0.2824428
0.1052246,0.9785156,-0.1162109,-1.78626,-0.7099237,-0.09923664
0.1005859,0.9736328,-0.09887695,-0.6641222,-0.5038168,0.2366412
0.1098633,0.9667969,-0.1298828,0.5343512,-0.7099237,0.3740458
0.1113281,0.9709473,-0.1535645,-0.389313,-0.5877862,0.1832061
-eTwist-,-e-,-e-,-e-,-e-,-e-
-sTwist-,-s-,-s-,-s-,-s-,-s-
0.1047363,0.9765625,-0.1105957,-0.4503817,-0.648855,0.2824428
0.1225586,1.019531,-0.05786133,1.961832,-1.969466,0.9007633
0.1289063,0.9736328,-0.1291504,-2.053435,-1.732824,-1.167939
0.1706543,0.9992676,-0.1252441,-1.282443,-21.09924,-3.732824
0.6738281,0.9938965,-0.1276855,-7.610687,-149.1527,-20.28244
0.2590332,0.9880371,-0.1242676,-18.82443,-248.1832,-21.54962
0.0871582,0.9694824,-0.09472656,-19.25191,-248.1832,-43.60305
-0.2397461,1.064941,0.09326172,-2.358779,-248.1832,18.35114
-0.1645508,0.9089355,0.05126953,-3.70229,-153.6641,24.13741
0.138916,0.7739258,-0.2902832,-10.03053,-132.4351,19.0
0.2575684,1.025635,-0.185791,-8.633588,-167.4504,27.57252
0.392334,1.015137,-0.1533203,-17.45038,-190.5573,-8.396947
0.2980957,0.9477539,-0.1518555,-15.55725,-233.1069,-16.25954
0.1062012,0.9919434,-0.1501465,-9.832061,-112.1832,-87.45802
-0.003417969,0.9094238,0.161377,19.41221,111.6794,111.1908
0.6789551,0.8566895,-0.09106445,37.03817,141.084,11.33588
-0.1630859,1.143066,0.2485352,34.0687,211.458,78.55725
0.08178711,0.7565918,-0.2712402,13.15267,244.0229,-37.45038
0.06933594,0.7619629,-0.3803711,12.60305,182.2519,41.87786
-0.1896973,1.167725,0.2307129,32.40458,250.1298,9.847328
0.2878418,0.6550293,-0.4875488,-4.793893,188.313,-8.175572
-0.2219238,1.068359,0.08398438,20.36641,241.1527,39.60305
0.8244629,0.9533691,-0.0390625,12.82443,250.1298,-23.92366
0.04418945,0.847168,-0.222168,28.42748,218.9084,6.633588
0.6628418,1.013672,-0.2434082,22.10687,64.07633,-18.14504
-0.08227539,0.9350586,-0.2905273,-4.610687,35.01527,0.04580153
0.145752,0.9003906,-0.2902832,-7.519084,-17.16794,-6.091603
-0.09887695,1.046143,0.04370117,-7.519084,-6.091603,6.442748
0.09643555,0.9597168,-0.01513672,-1.396947,-3.832061,5.961832
0.1245117,0.9885254,-0.08398438,6.412214,-1.419847,6.587786
0.1723633,0.9692383,-0.190918,1.648855,-1.145038,3.167939
0.1525879,0.9533691,-0.1958008,-3.435115,-0.8167939,0.7633588
0.1159668,0.9719238,-0.161377,0.6641222,-0.8167939,1.496183
0.1328125,0.96875,-0.1757813,-2.900763,-0.6870229,0.3740458
0.1279297,0.9831543,-0.09985352,-3.183206,-0.870229,-0.4351145
0.1152344,0.9858398,-0.06616211,0.1450382,-0.8931297,-0.5954198
0.111084,0.9816895,-0.1030273,1.687023,-0.8778625,0.1145038
